horizon_h,task,category,cumulative_importance_pct,feature_count
3,frost_classification,Rolling Statistics,56.59,180
3,frost_classification,Lag Features,20.22,50
3,frost_classification,Time Features,8.58,16
3,frost_classification,Other Features,4.32,14
3,frost_classification,Wind Features,4.19,8
3,frost_classification,Derived Meteorological,3.32,7
3,frost_classification,Station Features,1.44,1
3,frost_classification,Soil Features,1.42,2
3,temperature_regression,Rolling Statistics,40.15,180
3,temperature_regression,Other Features,15.73,14
3,temperature_regression,Time Features,14.6,16
3,temperature_regression,Lag Features,12.95,50
3,temperature_regression,Derived Meteorological,6.45,7
3,temperature_regression,Wind Features,5.47,8
3,temperature_regression,Station Features,4.2,1
3,temperature_regression,Soil Features,0.45,2
6,frost_classification,Rolling Statistics,59.39,180
6,frost_classification,Lag Features,17.49,50
6,frost_classification,Time Features,9.79,16
6,frost_classification,Other Features,3.95,14
6,frost_classification,Wind Features,3.46,8
6,frost_classification,Derived Meteorological,3.16,7
6,frost_classification,Station Features,1.6,1
6,frost_classification,Soil Features,1.18,2
6,temperature_regression,Rolling Statistics,42.37,180
6,temperature_regression,Time Features,16.67,16
6,temperature_regression,Lag Features,15.91,50
6,temperature_regression,Other Features,11.64,14
6,temperature_regression,Derived Meteorological,4.51,7
6,temperature_regression,Station Features,4.1,1
6,temperature_regression,Wind Features,3.85,8
6,temperature_regression,Soil Features,1.01,2
12,frost_classification,Rolling Statistics,56.18,180
12,frost_classification,Lag Features,18.44,50
12,frost_classification,Time Features,13.2,16
12,frost_classification,Other Features,4.21,14
12,frost_classification,Wind Features,2.98,8
12,frost_classification,Derived Meteorological,2.06,7
12,frost_classification,Station Features,1.96,1
12,frost_classification,Soil Features,1.02,2
12,temperature_regression,Rolling Statistics,37.81,180
12,temperature_regression,Lag Features,25.71,50
12,temperature_regression,Time Features,16.66,16
12,temperature_regression,Other Features,7.42,14
12,temperature_regression,Wind Features,4.89,8
12,temperature_regression,Derived Meteorological,3.35,7
12,temperature_regression,Station Features,2.99,1
12,temperature_regression,Soil Features,1.18,2
24,frost_classification,Rolling Statistics,57.08,180
24,frost_classification,Lag Features,16.34,50
24,frost_classification,Time Features,16.11,16
24,frost_classification,Wind Features,4.35,8
24,frost_classification,Other Features,2.47,14
24,frost_classification,Derived Meteorological,1.38,7
24,frost_classification,Station Features,1.19,1
24,frost_classification,Soil Features,1.05,2
24,temperature_regression,Rolling Statistics,41.48,180
24,temperature_regression,Time Features,23.53,16
24,temperature_regression,Lag Features,11.54,50
24,temperature_regression,Wind Features,8.5,8
24,temperature_regression,Other Features,8.05,14
24,temperature_regression,Derived Meteorological,2.86,7
24,temperature_regression,Station Features,2.85,1
24,temperature_regression,Soil Features,1.19,2
