category,cumulative_importance_pct,horizon_h,task,radius_km
Derived Meteorological Features,5.27,3,frost_classification,60
Other Features,2.22,3,frost_classification,60
Raw Features,11.51,3,frost_classification,60
Spatial Aggregation Features,70.21,3,frost_classification,60
Time Features,10.75,3,frost_classification,60
Derived Meteorological Features,6.36,3,temperature_regression,60
Other Features,2.19,3,temperature_regression,60
Raw Features,21.37,3,temperature_regression,60
Spatial Aggregation Features,47.660000000000004,3,temperature_regression,60
Time Features,22.470000000000002,3,temperature_regression,60
Derived Meteorological Features,3.52,6,frost_classification,160
Other Features,2.07,6,frost_classification,160
Raw Features,8.74,6,frost_classification,160
Spatial Aggregation Features,73.85,6,frost_classification,160
Time Features,11.82,6,frost_classification,160
Derived Meteorological Features,6.5,6,temperature_regression,160
Other Features,0.86,6,temperature_regression,160
Raw Features,13.19,6,temperature_regression,160
Spatial Aggregation Features,59.78,6,temperature_regression,160
Time Features,19.7,6,temperature_regression,160
Derived Meteorological Features,3.75,12,frost_classification,200
Other Features,1.63,12,frost_classification,200
Raw Features,8.02,12,frost_classification,200
Spatial Aggregation Features,73.13,12,frost_classification,200
Time Features,13.459999999999999,12,frost_classification,200
Derived Meteorological Features,5.92,12,temperature_regression,200
Other Features,0.7,12,temperature_regression,200
Raw Features,10.5,12,temperature_regression,200
Spatial Aggregation Features,62.64,12,temperature_regression,200
Time Features,20.22,12,temperature_regression,200
Derived Meteorological Features,3.24,24,frost_classification,180
Other Features,0.75,24,frost_classification,180
Raw Features,5.6,24,frost_classification,180
Spatial Aggregation Features,74.62,24,frost_classification,180
Time Features,15.82,24,frost_classification,180
Derived Meteorological Features,4.109999999999999,24,temperature_regression,180
Other Features,0.4,24,temperature_regression,180
Raw Features,9.370000000000001,24,temperature_regression,180
Spatial Aggregation Features,63.67,24,temperature_regression,180
Time Features,22.47,24,temperature_regression,180
